length_mm,diameter1_mm,diameter2_mm
20846.857,1.7689,1.8000
20846.857,1.7720,1.7999
20846.857,1.7720,1.7999
20846.857,1.7719,1.7998
20846.857,1.7689,1.7996
20846.857,1.7720,1.7997
20846.857,1.7688,1.7901
20852.115,1.7854,1.7830
20863.314,1.7626,1.7982
20876.115,1.7844,1.7759
20882.971,1.8032,1.7923
20884.572,1.7863,1.7772
20896.686,1.7873,1.8017
20909.715,1.7756,1.7684
20916.801,1.7758,1.8013
20917.029,1.7747,1.8046
20917.029,1.7755,1.8014
20917.029,1.7753,1.8014
20917.029,1.7753,1.8042
20917.029,1.7752,1.8043
20917.029,1.7752,1.8043
20917.029,1.7752,1.8014
20917.029,1.7753,1.8042
20917.029,1.7754,1.8014
20917.029,1.7753,1.8013
20917.029,1.7753,1.8013
20917.029,1.7752,1.8014
20917.029,1.7749,1.8007
20924.115,1.7764,1.8047
20943.771,1.7768,1.7784
20965.715,1.7598,1.7707
20970.285,1.7914,1.7830
20970.285,1.7946,1.7826
20970.285,1.7943,1.7826
20970.514,1.7912,1.7826
20979.887,1.7891,1.8024
20980.115,1.7859,1.8013
20983.314,1.7792,1.7826
20990.629,1.7791,1.7723
20993.828,1.8090,1.7736
20993.828,1.8089,1.7732
20993.828,1.8091,1.7731
20993.828,1.8090,1.7730
20993.828,1.8090,1.7731
20993.828,1.8089,1.8015
21000.914,1.7978,1.7867
21009.371,1.8062,1.7858
21009.600,1.8054,1.7860
21010.057,1.8062,1.7964
21019.887,1.7821,1.7924
21034.057,1.7919,1.7915
21037.715,1.7784,1.7917
21037.943,1.7814,1.8039
21056.457,1.8040,1.7746
21072.914,1.7946,1.7779
21072.914,1.7938,1.7859
21080.457,1.7986,1.7780
21096.914,1.8058,1.7819
21104.914,1.8057,1.7874
21105.371,1.7976,1.7928
21126.400,1.7943,1.8043
21136.457,1.8016,1.7965
21136.457,1.8025,1.8021
21146.285,1.7924,1.8053
21163.887,1.7733,1.7813
21164.801,1.7789,1.7938
21181.486,1.7970,1.7851
21199.086,1.8020,1.7719
21199.086,1.8025,1.7720
21199.086,1.8024,1.7728
21199.086,1.8021,1.7931
21214.857,1.8023,1.7687
21221.943,1.7969,1.7721
21221.943,1.8000,1.7722
21221.943,1.7999,1.7720
21221.943,1.7999,1.7687
21222.857,1.7952,1.7802
21249.828,1.7722,1.7960
21250.057,1.7721,1.7964
21251.199,1.7689,1.7856
21271.086,1.7933,1.7990
21273.600,1.7834,1.7965
